Name,Skills,Skill_Levels,Interests,Experience,Recommended_Career,Average_Salary
User_5329,Project Management;Content Writing;Graphic Design,Intermediate;Expert;Expert,Media;AI,3,UI/UX Designer,70000
User_4384,JavaScript;Python;Networking;Graphic Design,Beginner;Beginner;Intermediate;Beginner,Business,5,Financial Analyst,75000
User_5683,Project Management;Customer Service,Intermediate;Pro,Environment;Gaming,2,Cloud Engineer,105000
User_1186,Content Writing;Project Management,Pro;Pro,Media;Cloud,0,Graphic Designer,55000
User_6581,Machine Learning;Content Writing,Beginner;Expert,Education,3,Network Engineer,85000
User_3155,Blockchain;Digital Marketing;Data Analysis;Python,Intermediate;Pro;Intermediate;Pro,AI,0,Digital Marketer,60000
User_2011,Blockchain;UI/UX Design,Expert;Pro,Marketing,5,Customer Support Specialist,45000
User_5954,Graphic Design;Data Analysis;DevOps,Expert;Beginner;Expert,Finance;Marketing,10,Customer Support Specialist,45000
User_4430,Big Data;UI/UX Design;Java,Intermediate;Beginner;Pro,Education,10,Cybersecurity Analyst,95000
User_1036,Networking;Accounting,Expert;Expert,Business;Design,3,DevOps Engineer,100000
User_3524,Project Management;JavaScript;SEO;Accounting,Expert;Intermediate;Intermediate;Beginner,Finance;Media,0,Data Scientist,100000
User_3760,Finance;Content Writing;Cloud Computing,Expert;Beginner;Pro,Environment;Education,5,Machine Learning Engineer,110000
User_9023,Deep Learning;Finance,Expert;Beginner,Gaming;AI,8,Technical Writer,60000
User_7633,Machine Learning;Deep Learning;Java,Beginner;Intermediate;Pro,Cloud;Gaming,2,Project Manager,95000
User_3539,Big Data;SQL;Customer Service,Beginner;Beginner;Intermediate,Business,8,UI/UX Designer,70000
User_4791,Cloud Computing;Python;Java;Cybersecurity,Pro;Pro;Pro;Intermediate,Education,10,Financial Analyst,75000
User_3138,SEO;C++;Machine Learning;Digital Marketing,Beginner;Beginner;Beginner;Expert,Security;Cloud,1,Machine Learning Engineer,110000
User_6238,Data Analysis;Networking;DevOps,Intermediate;Pro;Expert,AI;Finance,8,Accountant,65000
User_2689,UI/UX Design;Cloud Computing,Pro;Expert,Design;Marketing,4,Digital Marketer,60000
User_8944,Graphic Design;Accounting;Networking;Finance,Intermediate;Pro;Beginner;Intermediate,Healthcare;Tech,2,Blockchain Developer,115000
User_9542,Customer Service;Content Writing;Finance;Blockchain,Intermediate;Beginner;Pro;Beginner,Tech;Gaming,5,Cloud Engineer,105000
User_4824,DevOps;Data Analysis;Big Data,Intermediate;Expert;Expert,Healthcare;AI,1,UI/UX Designer,70000
User_3676,Cybersecurity;UI/UX Design,Expert;Intermediate,Marketing;Design,4,Backend Developer,90000
User_3726,UI/UX Design;DevOps;Machine Learning,Beginner;Intermediate;Expert,Finance,6,Digital Marketer,60000
User_8158,Accounting;Finance;SQL,Intermediate;Beginner;Pro,Design,2,Graphic Designer,55000
User_2638,Data Analysis;UI/UX Design,Intermediate;Beginner,Cloud,8,UI/UX Designer,70000
User_2793,Accounting;Digital Marketing,Beginner;Expert,Cloud,3,Digital Marketer,60000
User_4862,JavaScript;Project Management,Expert;Intermediate,Design;Analytics,1,Customer Support Specialist,45000
User_5681,DevOps;Networking,Intermediate;Expert,Healthcare;Education,10,UI/UX Designer,70000
User_5159,Content Writing;Finance;Machine Learning;DevOps,Intermediate;Beginner;Expert;Expert,Environment;Media,6,Graphic Designer,55000
User_3423,Deep Learning;JavaScript,Beginner;Intermediate,Environment,3,Data Scientist,100000
User_5459,Big Data;UI/UX Design;DevOps,Beginner;Intermediate;Intermediate,Security;Gaming,4,Technical Writer,60000
User_1667,Accounting;Cybersecurity,Beginner;Pro,Security;Business,0,Blockchain Developer,115000
User_6833,SQL;Java;Cybersecurity;UI/UX Design,Intermediate;Intermediate;Intermediate;Intermediate,Marketing,4,Backend Developer,90000
User_6896,Content Writing;SQL,Pro;Intermediate,Finance,3,Cloud Engineer,105000
User_6565,UI/UX Design;Graphic Design;Content Writing,Intermediate;Pro;Beginner,Security;Healthcare,8,Graphic Designer,55000
User_9768,DevOps;Accounting;Customer Service,Intermediate;Expert;Beginner,Media;Marketing,2,SEO Specialist,58000
User_4507,Digital Marketing;Content Writing,Beginner;Expert,Gaming,3,Customer Support Specialist,45000
User_2746,Deep Learning;UI/UX Design;Big Data;Python,Pro;Expert;Beginner;Pro,Cloud;Education,1,Backend Developer,90000
